fit,surveyDataYear,mask,tol
mask_0,2004,mask_uga_hole,0.4
mask_0,2005,mask_uga_hole,0.4
mask_0,2006,mask_uga_hole,0.4
mask_0,2007,mask_uga_hole,0.4
mask_0,2008,mask_uga_hole,0.4
mask_0,2009,mask_uga_hole,0.4
mask_0,2010,mask_uga_hole,0.4
mask_0,2004,mask_uga_kam,0.4
mask_0,2005,mask_uga_kam,0.4
mask_0,2006,mask_uga_kam,0.4
mask_0,2007,mask_uga_kam,0.4
mask_0,2008,mask_uga_kam,0.4
mask_0,2009,mask_uga_kam,0.4
mask_0,2010,mask_uga_kam,0.4
mask_1,2004,mask_uga_hole,0.3
mask_1,2005,mask_uga_hole,0.3
mask_1,2006,mask_uga_hole,0.3
mask_1,2007,mask_uga_hole,0.3
mask_1,2008,mask_uga_hole,0.3
mask_1,2009,mask_uga_hole,0.3
mask_1,2010,mask_uga_hole,0.3
mask_1,2004,mask_uga_kam,0.3
mask_1,2005,mask_uga_kam,0.3
mask_1,2006,mask_uga_kam,0.3
mask_1,2007,mask_uga_kam,0.3
mask_1,2008,mask_uga_kam,0.3
mask_1,2009,mask_uga_kam,0.3
mask_1,2010,mask_uga_kam,0.3
mask_2,2004,mask_uga_hole,0.25
mask_2,2005,mask_uga_hole,0.25
mask_2,2006,mask_uga_hole,0.25
mask_2,2007,mask_uga_hole,0.25
mask_2,2008,mask_uga_hole,0.25
mask_2,2009,mask_uga_hole,0.25
mask_2,2010,mask_uga_hole,0.25
mask_2,2004,mask_uga_kam,0.25
mask_2,2005,mask_uga_kam,0.25
mask_2,2006,mask_uga_kam,0.25
mask_2,2007,mask_uga_kam,0.25
mask_2,2008,mask_uga_kam,0.25
mask_2,2009,mask_uga_kam,0.25
mask_2,2010,mask_uga_kam,0.25
mask_3,2004,mask_uga_hole,0.2
mask_3,2005,mask_uga_hole,0.2
mask_3,2006,mask_uga_hole,0.2
mask_3,2007,mask_uga_hole,0.2
mask_3,2008,mask_uga_hole,0.2
mask_3,2009,mask_uga_hole,0.2
mask_3,2010,mask_uga_hole,0.2
mask_3,2004,mask_uga_kam,0.2
mask_3,2005,mask_uga_kam,0.2
mask_3,2006,mask_uga_kam,0.2
mask_3,2007,mask_uga_kam,0.2
mask_3,2008,mask_uga_kam,0.2
mask_3,2009,mask_uga_kam,0.2
mask_3,2010,mask_uga_kam,0.2
mask_4,2004,mask_uga_hole,0.15
mask_4,2005,mask_uga_hole,0.15
mask_4,2006,mask_uga_hole,0.15
mask_4,2007,mask_uga_hole,0.15
mask_4,2008,mask_uga_hole,0.15
mask_4,2009,mask_uga_hole,0.15
mask_4,2010,mask_uga_hole,0.15
mask_4,2004,mask_uga_kam,0.15
mask_4,2005,mask_uga_kam,0.15
mask_4,2006,mask_uga_kam,0.15
mask_4,2007,mask_uga_kam,0.15
mask_4,2008,mask_uga_kam,0.15
mask_4,2009,mask_uga_kam,0.15
mask_4,2010,mask_uga_kam,0.15
mask_5,2004,mask_uga_hole,0.1
mask_5,2005,mask_uga_hole,0.1
mask_5,2006,mask_uga_hole,0.1
mask_5,2007,mask_uga_hole,0.1
mask_5,2008,mask_uga_hole,0.1
mask_5,2009,mask_uga_hole,0.1
mask_5,2010,mask_uga_hole,0.1
mask_5,2004,mask_uga_kam,0.1
mask_5,2005,mask_uga_kam,0.1
mask_5,2006,mask_uga_kam,0.1
mask_5,2007,mask_uga_kam,0.1
mask_5,2008,mask_uga_kam,0.1
mask_5,2009,mask_uga_kam,0.1
mask_5,2010,mask_uga_kam,0.1
mask_6,2004,mask_uga_hole,0.05
mask_6,2005,mask_uga_hole,0.05
mask_6,2006,mask_uga_hole,0.05
mask_6,2007,mask_uga_hole,0.05
mask_6,2008,mask_uga_hole,0.05
mask_6,2009,mask_uga_hole,0.05
mask_6,2010,mask_uga_hole,0.05
mask_6,2004,mask_uga_kam,0.05
mask_6,2005,mask_uga_kam,0.05
mask_6,2006,mask_uga_kam,0.05
mask_6,2007,mask_uga_kam,0.05
mask_6,2008,mask_uga_kam,0.05
mask_6,2009,mask_uga_kam,0.05
mask_6,2010,mask_uga_kam,0.05
